datetime,chc,lpz,scz
2024-10-10 12:50,nan,0.0509486,nan
2024-10-10 13:50,nan,-0.05,nan
2024-10-10 13:50,nan,-0.05,nan
2024-10-10 14:50,nan,nan,nan
2024-10-10 14:50,nan,nan,nan
2024-10-10 15:50,nan,nan,nan
2024-10-10 15:50,nan,nan,nan
2024-10-10 16:50,nan,nan,nan
2024-10-10 16:50,nan,nan,nan
2024-10-10 17:50,nan,-0.05,nan
2024-10-10 17:50,nan,-0.05,nan
2024-10-10 18:50,0.012495659,nan,nan
2024-10-10 18:50,0.012495659,nan,nan
2024-10-10 19:50,nan,-0.05,nan
2024-10-10 19:50,nan,-0.05,nan
2024-10-10 20:50,nan,-0.05,0.7805527
2024-10-10 20:50,nan,-0.05,0.7805527
2024-10-11 10:50,nan,nan,nan
2024-10-11 10:50,nan,nan,nan
2024-10-11 11:50,nan,0.059656385,nan
2024-10-11 12:50,nan,-0.05,nan
2024-10-11 12:50,nan,-0.05,nan
2024-10-11 13:50,nan,-0.05,nan
2024-10-11 13:50,nan,-0.05,nan
2024-10-11 14:50,nan,-0.05,nan
2024-10-11 14:50,nan,-0.05,nan
2024-10-11 15:50,nan,-0.05,nan
2024-10-11 15:50,nan,-0.05,nan
2024-10-11 16:50,nan,nan,nan
2024-10-11 16:50,nan,nan,nan
2024-10-11 17:50,nan,-0.05,nan
2024-10-11 17:50,nan,-0.05,nan
2024-10-11 18:50,nan,-0.05,nan
2024-10-11 18:50,nan,-0.05,nan
2024-10-11 19:50,nan,nan,0.6765987
2024-10-11 19:50,nan,nan,0.6765987
2024-10-11 20:50,nan,nan,0.6604932
2024-10-11 20:50,nan,nan,0.6604932
2024-10-12 10:50,nan,nan,nan
2024-10-12 10:50,nan,nan,nan
2024-10-12 11:50,nan,nan,nan
2024-10-12 12:50,nan,nan,1.8298017
2024-10-12 12:50,nan,nan,1.8298017
2024-10-12 13:50,nan,nan,0.9755145
2024-10-12 13:50,nan,nan,0.9755145
2024-10-12 14:50,nan,nan,0.6622656
2024-10-12 14:50,nan,nan,0.6622656
2024-10-12 15:50,nan,nan,nan
2024-10-12 15:50,nan,nan,nan
2024-10-12 16:50,nan,nan,nan
2024-10-12 16:50,nan,nan,nan
2024-10-12 17:50,nan,nan,nan
2024-10-12 17:50,nan,nan,nan
2024-10-12 18:50,nan,nan,0.6417676
2024-10-12 18:50,nan,nan,0.6417676
2024-10-12 19:50,nan,nan,0.6052412
2024-10-12 19:50,nan,nan,0.6052412
2024-10-12 20:50,nan,nan,0.8987627
2024-10-12 20:50,nan,nan,0.8987627
2024-10-13 10:50,nan,nan,nan
2024-10-13 10:50,nan,nan,nan
2024-10-13 11:50,nan,0.18387711,nan
2024-10-13 12:50,nan,nan,0.92604196
2024-10-13 12:50,nan,nan,0.92604196
2024-10-13 13:50,nan,nan,1.0614364
2024-10-13 13:50,nan,nan,1.0614364
2024-10-13 14:50,nan,nan,1.4321722
2024-10-13 14:50,nan,nan,1.4321722
2024-10-13 15:50,nan,nan,0.9354433
2024-10-13 15:50,nan,nan,0.9354433
2024-10-13 16:50,nan,nan,0.70880985
2024-10-13 16:50,nan,nan,0.70880985
2024-10-13 17:50,nan,nan,nan
2024-10-13 17:50,nan,nan,nan
2024-10-13 18:50,nan,nan,0.7111987
2024-10-13 18:50,nan,nan,0.7111987
2024-10-13 19:50,nan,nan,0.9100135
2024-10-13 19:50,nan,nan,0.9100135
2024-10-13 20:50,nan,0.030373584,0.90377164
2024-10-13 20:50,nan,0.030373584,0.90377164
2024-10-14 10:50,nan,nan,nan
2024-10-14 10:50,nan,nan,nan
2024-10-14 11:50,nan,nan,nan
2024-10-14 12:50,nan,-0.04545346,nan
2024-10-14 12:50,nan,-0.04545346,nan
2024-10-14 13:50,nan,-0.05,nan
2024-10-14 13:50,nan,-0.05,nan
2024-10-14 14:50,nan,-0.05,3.5737467
2024-10-14 14:50,nan,-0.05,3.5737467
2024-10-14 15:50,nan,nan,nan
2024-10-14 15:50,nan,nan,nan
2024-10-14 16:50,nan,nan,nan
2024-10-14 16:50,nan,nan,nan
2024-10-14 17:50,nan,0.2778903,nan
2024-10-14 17:50,nan,0.2778903,nan
2024-10-14 18:50,nan,0.07699488,nan
2024-10-14 18:50,nan,0.07699488,nan
2024-10-14 19:50,nan,nan,nan
2024-10-14 19:50,nan,nan,nan
2024-10-14 20:50,nan,nan,nan
2024-10-14 20:50,nan,nan,nan
2024-10-15 10:50,nan,nan,nan
2024-10-15 10:50,nan,nan,nan
2024-10-15 11:50,nan,nan,4.999973
2024-10-15 12:50,nan,0.063201144,2.6588132
2024-10-15 12:50,nan,0.063201144,2.6588132
2024-10-15 13:50,nan,-0.05,2.8251088
2024-10-15 13:50,nan,-0.05,2.8251088
2024-10-15 14:50,nan,-0.05,2.445511
2024-10-15 14:50,nan,-0.05,2.445511
2024-10-15 15:50,nan,-0.005305201,1.8442119
2024-10-15 15:50,nan,-0.005305201,1.8442119
2024-10-15 16:50,nan,nan,1.7431092
2024-10-15 16:50,nan,nan,1.7431092
2024-10-15 17:50,nan,nan,1.75174
2024-10-15 17:50,nan,nan,1.75174
2024-10-15 18:50,0.026982944,nan,1.4519765
2024-10-15 18:50,0.026982944,nan,1.4519765
2024-10-16 10:50,nan,nan,nan
2024-10-16 10:50,nan,nan,nan
2024-10-16 11:50,nan,nan,nan
2024-10-16 12:50,nan,nan,nan
2024-10-16 13:50,nan,0.13070571,nan
2024-10-16 13:50,nan,0.13070571,nan
2024-10-16 14:40,nan,nan,nan
2024-10-16 14:40,nan,nan,nan
2024-10-16 15:50,nan,nan,nan
2024-10-16 16:50,nan,nan,nan
2024-10-16 16:50,nan,nan,nan
2024-10-16 17:50,nan,nan,nan
2024-10-16 17:50,nan,nan,nan
2024-10-16 18:50,nan,nan,nan
2024-10-16 18:50,nan,nan,nan
2024-10-16 19:50,nan,nan,nan
2024-10-16 19:50,nan,nan,nan
2024-10-16 20:50,nan,nan,0.036769558
2024-10-16 20:50,nan,nan,0.036769558
2024-10-17 10:50,nan,nan,nan
2024-10-17 10:50,nan,nan,nan
2024-10-17 11:50,nan,0.055649262,0.7543523
2024-10-17 12:50,nan,-0.033509158,0.97536033
2024-10-17 12:50,nan,-0.033509158,0.97536033
2024-10-17 13:50,nan,-0.05,0.8720229
2024-10-17 13:50,nan,-0.05,0.8720229
2024-10-17 14:50,nan,nan,nan
2024-10-17 14:50,nan,nan,nan
2024-10-17 15:50,nan,-0.05,1.0439439
2024-10-17 15:50,nan,-0.05,1.0439439
2024-10-17 16:50,nan,-0.05,1.0849397
2024-10-17 16:50,nan,-0.05,1.0849397
2024-10-17 17:50,0.12168969,-0.05,nan
2024-10-17 17:50,0.12168969,-0.05,nan
2024-10-17 18:40,nan,-0.05,nan
2024-10-17 18:40,nan,-0.05,nan
2024-10-17 20:50,0.028909441,-0.05,0.89121085
2024-10-17 20:50,0.028909441,-0.05,0.89121085
2024-10-18 10:50,nan,nan,nan
2024-10-18 10:50,nan,nan,nan
2024-10-18 11:50,nan,nan,nan
2024-10-18 12:50,nan,nan,nan
2024-10-18 12:50,nan,nan,nan
2024-10-18 13:50,nan,-0.05,nan
2024-10-18 13:50,nan,-0.05,nan
2024-10-18 14:50,0.07614723,-0.05,nan
